Combination,SVM Accuracy,SVM AUC,KNN Accuracy,KNN AUC,Random Forest Accuracy,Random Forest AUC,Logistic Regression Accuracy,Logistic Regression AUC,XGB Accuracy,XGB AUC
Behavioral.csv_HighBeta_FCPCA,0.5263157894736842,0.5,0.5263157894736842,0.5055555555555555,0.5789473684210527,0.5222222222222223,0.5263157894736842,0.5666666666666667,0.5789473684210527,0.5555555555555556
Behavioral.csv_Gamma_FC,0.47368421052631576,0.41666666666666663,0.3684210526315789,0.3392857142857143,0.631578947368421,0.5654761904761905,0.47368421052631576,0.39285714285714285,0.5789473684210527,0.5476190476190476
Behavioral.csv_Gamma_FCPCA,0.631578947368421,0.4583333333333333,0.5789473684210527,0.3214285714285714,0.47368421052631576,0.5833333333333334,0.631578947368421,0.47619047619047616,0.3684210526315789,0.38690476190476186
Behavioral.csv_All_FC,0.7894736842105263,0.8295454545454546,0.7894736842105263,0.8579545454545455,0.8421052631578947,0.8352272727272728,0.7894736842105263,0.8068181818181819,0.7368421052631579,0.875
Behavioral.csv_All_FCPCA,0.5789473684210527,0.5,0.42105263157894735,0.4659090909090909,0.5263157894736842,0.4431818181818182,0.5789473684210527,0.7727272727272727,0.3157894736842105,0.3522727272727273
PTSD.csv_Delta_FC,0.8666666666666667,0.8571428571428571,0.6,0.6696428571428572,0.8666666666666667,0.9732142857142857,0.8666666666666667,0.8928571428571428,0.8,0.9285714285714286
PTSD.csv_Delta_FCPCA,0.5333333333333333,0.5714285714285714,0.5333333333333333,0.625,0.6666666666666666,0.6607142857142857,0.5333333333333333,0.8928571428571428,0.5333333333333333,0.42857142857142855
PTSD.csv_Theta_FC,0.8,0.9464285714285714,0.6666666666666666,0.7321428571428572,0.7333333333333333,0.9107142857142857,0.8,0.9464285714285714,0.8,0.9642857142857143
PTSD.csv_Theta_FCPCA,0.5333333333333333,0.5,0.5333333333333333,0.44642857142857134,0.7333333333333333,0.8214285714285714,0.5333333333333333,0.9642857142857143,0.6,0.8303571428571428
PTSD.csv_Alpha_FC,1.0,1.0,0.6666666666666666,0.6923076923076923,0.9333333333333333,0.9615384615384616,1.0,1.0,0.9333333333333333,1.0
PTSD.csv_Alpha_FCPCA,0.8666666666666667,0.5,0.8666666666666667,0.6346153846153846,0.8,0.7307692307692307,0.8666666666666667,1.0,0.8666666666666667,0.8076923076923076
PTSD.csv_Beta_FC,0.8,0.8055555555555556,0.8,0.8472222222222222,0.8666666666666667,0.9027777777777778,0.9333333333333333,0.861111111111111,0.8,0.9444444444444445
PTSD.csv_Beta_FCPCA,0.8,0.5,0.8,0.861111111111111,0.8,0.5555555555555555,0.8,0.888888888888889,0.8,0.6666666666666666
PTSD.csv_HighBeta_FC,0.7333333333333333,0.8214285714285714,0.8,0.8660714285714285,0.9333333333333333,0.9910714285714286,0.7333333333333333,0.8035714285714286,1.0,1.0
PTSD.csv_HighBeta_FCPCA,0.5333333333333333,0.5,0.5333333333333333,0.5,0.8,0.75,0.5333333333333333,1.0,0.6,0.75
PTSD.csv_Gamma_FC,0.6666666666666666,0.8333333333333334,0.5333333333333333,0.7222222222222222,0.7333333333333333,0.8703703703703705,0.8,0.8148148148148148,0.8,0.9814814814814815
PTSD.csv_Gamma_FCPCA,0.4,0.5,0.4,0.4814814814814815,0.3333333333333333,0.42592592592592593,0.4,0.888888888888889,0.4,0.40740740740740744
PTSD.csv_All_FC,0.8,0.8181818181818182,0.6666666666666666,0.5681818181818181,0.6666666666666666,0.7500000000000001,0.7333333333333333,0.7954545454545454,0.8666666666666667,0.8977272727272727
PTSD.csv_All_FCPCA,0.7333333333333333,0.5681818181818181,0.7333333333333333,0.36363636363636365,0.5333333333333333,0.5454545454545454,0.7333333333333333,0.75,0.7333333333333333,0.9090909090909091
Alcohol.csv_Delta_FC,0.5263157894736842,0.5666666666666667,0.6842105263157895,0.6944444444444444,0.631578947368421,0.7,0.47368421052631576,0.5444444444444445,0.5789473684210527,0.6444444444444444
Alcohol.csv_Delta_FCPCA,0.47368421052631576,0.5,0.47368421052631576,0.4833333333333334,0.631578947368421,0.6055555555555556,0.47368421052631576,0.4444444444444445,0.5263157894736842,0.5222222222222223
