Combination,SVM Accuracy,SVM AUC,KNN Accuracy,KNN AUC,Random Forest Accuracy,Random Forest AUC,Logistic Regression Accuracy,Logistic Regression AUC,XGB Accuracy,XGB AUC
OCD_AEI_HighBeta_FCPCA,0.6428571428571429,0.7083333333333333,0.35714285714285715,0.5833333333333333,1.0,1.0,0.6428571428571429,0.75,1.0,1.0
OCD_AEI_Gamma_FC,0.6428571428571429,0.75,0.35714285714285715,0.5833333333333333,0.6428571428571429,0.5520833333333333,0.6428571428571429,0.625,0.6428571428571429,0.5833333333333333
OCD_AEI_Gamma_FCPCA,0.7142857142857143,0.7395833333333334,0.5714285714285714,0.6666666666666666,1.0,1.0,0.7142857142857143,0.7083333333333334,1.0,1.0
OCD_AEI_All_FC,0.5714285714285714,0.45833333333333337,0.2857142857142857,0.28125,0.5714285714285714,0.46875,0.5714285714285714,0.3958333333333333,0.6428571428571429,0.4479166666666667
OCD_AEI_All_FCPCA,1.0,1.0,0.6428571428571429,0.8125,1.0,1.0,1.0,1.0,1.0,1.0
Schizo_AEI_Delta_FC,0.5238095238095238,0.4636363636363637,0.42857142857142855,0.34090909090909094,0.42857142857142855,0.39545454545454545,0.5238095238095238,0.5272727272727273,0.38095238095238093,0.45000000000000007
Schizo_AEI_Delta_FCPCA,0.7619047619047619,0.9090909090909091,0.6666666666666666,0.8,0.6666666666666666,0.7590909090909091,0.8095238095238095,0.9181818181818181,0.6666666666666666,0.6818181818181819
Schizo_AEI_Theta_FC,0.38095238095238093,0.39090909090909093,0.6190476190476191,0.6863636363636363,0.5714285714285714,0.5272727272727273,0.47619047619047616,0.4181818181818182,0.38095238095238093,0.42272727272727273
Schizo_AEI_Theta_FCPCA,0.8571428571428571,0.9181818181818182,0.6190476190476191,0.7590909090909091,0.8571428571428571,0.9045454545454545,0.8571428571428571,0.9363636363636363,0.7142857142857143,0.8454545454545455
Schizo_AEI_Alpha_FC,0.6190476190476191,0.6454545454545455,0.6190476190476191,0.6454545454545454,0.5714285714285714,0.4409090909090909,0.5714285714285714,0.7,0.42857142857142855,0.44999999999999996
Schizo_AEI_Alpha_FCPCA,0.7619047619047619,0.8545454545454545,0.8095238095238095,0.8090909090909091,0.6666666666666666,0.7272727272727273,0.8095238095238095,0.8818181818181817,0.6666666666666666,0.759090909090909
Schizo_AEI_Beta_FC,0.42857142857142855,0.6636363636363638,0.7142857142857143,0.7136363636363636,0.6190476190476191,0.5954545454545455,0.42857142857142855,0.38181818181818183,0.5238095238095238,0.7727272727272728
Schizo_AEI_Beta_FCPCA,0.8095238095238095,0.9090909090909091,0.7142857142857143,0.9318181818181819,0.7619047619047619,0.9227272727272727,0.8571428571428571,0.9363636363636363,0.7619047619047619,0.8545454545454546
Schizo_AEI_HighBeta_FC,0.6190476190476191,0.5818181818181818,0.6190476190476191,0.6227272727272727,0.5714285714285714,0.6454545454545455,0.47619047619047616,0.44545454545454544,0.5714285714285714,0.7090909090909092
Schizo_AEI_HighBeta_FCPCA,0.7619047619047619,0.8454545454545455,0.7142857142857143,0.8454545454545455,0.7619047619047619,0.8727272727272728,0.7619047619047619,0.8727272727272727,0.7619047619047619,0.8181818181818182
Schizo_AEI_Gamma_FC,0.3333333333333333,0.4,0.5238095238095238,0.38181818181818183,0.6190476190476191,0.5545454545454545,0.7619047619047619,0.6818181818181819,0.6190476190476191,0.5681818181818181
Schizo_AEI_Gamma_FCPCA,0.7142857142857143,0.8363636363636364,0.6666666666666666,0.7909090909090909,0.7619047619047619,0.8545454545454545,0.7142857142857143,0.8272727272727273,0.8095238095238095,0.8181818181818182
Schizo_AEI_All_FC,0.42857142857142855,0.4727272727272727,0.2857142857142857,0.23636363636363633,0.38095238095238093,0.4,0.5238095238095238,0.5545454545454545,0.5238095238095238,0.5954545454545455
Schizo_AEI_All_FCPCA,0.8095238095238095,0.8454545454545455,0.6666666666666666,0.8318181818181819,0.7142857142857143,0.7909090909090909,0.6666666666666666,0.8454545454545455,0.42857142857142855,0.4045454545454546
Traumastress_AEI_Delta_FC,0.5,0.5083333333333333,0.4090909090909091,0.4041666666666667,0.45454545454545453,0.5,0.5454545454545454,0.525,0.5454545454545454,0.4875
Traumastress_AEI_Delta_FCPCA,0.5454545454545454,0.8500000000000001,0.6818181818181818,0.8041666666666667,0.7727272727272727,0.8916666666666666,0.7727272727272727,0.9083333333333333,0.6363636363636364,0.7416666666666667
Traumastress_AEI_Theta_FC,0.4090909090909091,0.38333333333333336,0.36363636363636365,0.3,0.45454545454545453,0.375,0.4090909090909091,0.35,0.45454545454545453,0.5416666666666666
Traumastress_AEI_Theta_FCPCA,0.8181818181818182,0.9416666666666667,0.6363636363636364,0.7916666666666666,0.8181818181818182,0.9249999999999999,0.8181818181818182,0.925,0.7272727272727273,0.8041666666666667
Traumastress_AEI_Alpha_FC,0.6818181818181818,0.625,0.36363636363636365,0.29999999999999993,0.5454545454545454,0.6166666666666667,0.5454545454545454,0.5249999999999999,0.5454545454545454,0.6125
